source,source_kb,source_width,source_height,reason,output,output_kb,output_width,output_height
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\concept_breaking_wall.avif,331.1,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\concept_breaking_wall.png,7666.4,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\concept_breaking_wall.webp,278.5,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_404.png,9004.8,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_cobol.avif,330.8,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_cobol.png,6862.0,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_cobol.webp,343.2,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_contact.avif,54.3,2752,1536,>1200px wide,,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_contact.png,5438.1,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_contact.webp,72.4,2752,1536,>1200px wide,,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_functions_expert.avif,494.8,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_functions_expert.png,7818.7,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_functions_expert.webp,466.1,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_functions_latest_365.avif,464.0,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_functions_latest_365.png,7256.7,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_functions_latest_365.webp,450.3,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_functions_standard_clean.avif,448.8,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_functions_standard_clean.png,6209.4,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_functions_standard_clean.webp,420.1,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_main_overview.avif,157.0,2848,1504,>1200px wide,,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_main_overview.png,5920.6,2848,1504,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_main_overview.webp,162.7,2848,1504,>1200px wide,,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_ogp.png,5955.9,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_others_lab_main.avif,158.2,2752,1536,>1200px wide,,,,
