main_code,main_name,sub_no,sub_code,sub_name,quantity
EQ-0001,加工ラインA,1,OP-011,センサーS1,3
EQ-0001,加工ラインA,2,OP-012,保護カバー,4
EQ-0001,加工ラインA,3,OP-013,交換ベルト,5
EQ-0002,搬送ラインB,1,OP-021,保護カバー,4
EQ-0002,搬送ラインB,2,OP-022,交換ベルト,5
EQ-0002,搬送ラインB,3,OP-023,ガイド板,6
EQ-0002,搬送ラインB,4,OP-024,制御ケーブル,7
EQ-0003,仕分ラインC,1,OP-031,交換ベルト,5
EQ-0003,仕分ラインC,2,OP-032,ガイド板,6
EQ-0003,仕分ラインC,3,OP-033,制御ケーブル,7
EQ-0003,仕分ラインC,4,OP-034,予備ローラー,8
EQ-0003,仕分ラインC,5,OP-035,固定金具,1
EQ-0004,包装ラインD,1,OP-041,ガイド板,6
EQ-0004,包装ラインD,2,OP-042,制御ケーブル,7
EQ-0004,包装ラインD,3,OP-043,予備ローラー,8
EQ-0004,包装ラインD,4,OP-044,固定金具,1
EQ-0004,包装ラインD,5,OP-045,フィルター,2
EQ-0004,包装ラインD,6,OP-046,ラベル台紙,3
EQ-0005,検査ラインE,1,OP-051,制御ケーブル,7
EQ-0005,検査ラインE,2,OP-052,予備ローラー,8
EQ-0005,検査ラインE,3,OP-053,固定金具,1
EQ-0005,検査ラインE,4,OP-054,フィルター,2
EQ-0005,検査ラインE,5,OP-055,ラベル台紙,3
EQ-0005,検査ラインE,6,OP-056,ロックピン,4
EQ-0005,検査ラインE,7,OP-057,センサーS1,5
EQ-0006,保管ラインF,1,OP-061,予備ローラー,8
EQ-0006,保管ラインF,2,OP-062,固定金具,1
EQ-0006,保管ラインF,3,OP-063,フィルター,2
EQ-0007,加工ラインA,1,OP-071,固定金具,1
EQ-0007,加工ラインA,2,OP-072,フィルター,2
EQ-0007,加工ラインA,3,OP-073,ラベル台紙,3
EQ-0007,加工ラインA,4,OP-074,ロックピン,4
EQ-0008,搬送ラインB,1,OP-081,フィルター,2
EQ-0008,搬送ラインB,2,OP-082,ラベル台紙,3
EQ-0008,搬送ラインB,3,OP-083,ロックピン,4
EQ-0008,搬送ラインB,4,OP-084,センサーS1,5
EQ-0008,搬送ラインB,5,OP-085,保護カバー,6
EQ-0009,仕分ラインC,1,OP-091,ラベル台紙,3
EQ-0009,仕分ラインC,2,OP-092,ロックピン,4
EQ-0009,仕分ラインC,3,OP-093,センサーS1,5
EQ-0009,仕分ラインC,4,OP-094,保護カバー,6
EQ-0009,仕分ラインC,5,OP-095,交換ベルト,7
EQ-0009,仕分ラインC,6,OP-096,ガイド板,8
EQ-0010,包装ラインD,1,OP-101,ロックピン,4
EQ-0010,包装ラインD,2,OP-102,センサーS1,5
EQ-0010,包装ラインD,3,OP-103,保護カバー,6
EQ-0010,包装ラインD,4,OP-104,交換ベルト,7
EQ-0010,包装ラインD,5,OP-105,ガイド板,8
EQ-0010,包装ラインD,6,OP-106,制御ケーブル,1
EQ-0010,包装ラインD,7,OP-107,予備ローラー,2
EQ-0011,検査ラインE,1,OP-111,センサーS1,5
EQ-0011,検査ラインE,2,OP-112,保護カバー,6
EQ-0011,検査ラインE,3,OP-113,交換ベルト,7
EQ-0012,保管ラインF,1,OP-121,保護カバー,6
EQ-0012,保管ラインF,2,OP-122,交換ベルト,7
