case_id,equipment,work_date,line_no,item_name,item_value
WK-0001,プレスA,2026-05-01,01,点検区分,外観確認
WK-0001,プレスA,2026-05-01,02,圧力,0121
WK-0001,プレスA,2026-05-01,03,温度,0029
WK-0001,プレスA,2026-05-01,04,判定,OK
WK-0002,搬送B,2026-05-02,01,点検区分,ベルト確認
WK-0002,搬送B,2026-05-02,02,圧力,0122
WK-0002,搬送B,2026-05-02,03,温度,0030
WK-0002,搬送B,2026-05-02,04,判定,要確認
WK-0002,搬送B,2026-05-02,05,処置,清掃
WK-0003,仕分C,2026-05-03,01,点検区分,センサー確認
WK-0003,仕分C,2026-05-03,02,圧力,0123
WK-0003,仕分C,2026-05-03,03,温度,0031
WK-0003,仕分C,2026-05-03,04,判定,保留
WK-0003,仕分C,2026-05-03,05,処置,調整
WK-0003,仕分C,2026-05-03,06,備考,表示ゆれあり
WK-0004,包装D,2026-05-04,01,点検区分,圧力確認
WK-0004,包装D,2026-05-04,02,圧力,0124
WK-0004,包装D,2026-05-04,03,温度,0032
WK-0004,包装D,2026-05-04,04,判定,OK
WK-0004,包装D,2026-05-04,05,処置,部品交換
WK-0004,包装D,2026-05-04,06,備考,軽微な汚れ
WK-0004,包装D,2026-05-04,07,確認欄,L2
WK-0005,検査E,2026-05-05,01,点検区分,温度確認
WK-0005,検査E,2026-05-05,02,圧力,0125
WK-0005,検査E,2026-05-05,03,温度,0033
WK-0005,検査E,2026-05-05,04,判定,要確認
WK-0005,検査E,2026-05-05,05,処置,再確認
WK-0005,検査E,2026-05-05,06,備考,交換候補
WK-0005,検査E,2026-05-05,07,確認欄,L3
WK-0005,検査E,2026-05-05,08,終了,END
WK-0006,昇降F,2026-05-06,01,点検区分,ラベル確認
WK-0006,昇降F,2026-05-06,02,圧力,0126
WK-0006,昇降F,2026-05-06,03,温度,0034
WK-0006,昇降F,2026-05-06,04,判定,保留
WK-0007,混合G,2026-05-07,01,点検区分,安全確認
WK-0007,混合G,2026-05-07,02,圧力,0127
WK-0007,混合G,2026-05-07,03,温度,0035
WK-0007,混合G,2026-05-07,04,判定,OK
WK-0007,混合G,2026-05-07,05,処置,なし
WK-0008,封止H,2026-05-08,01,点検区分,清掃確認
WK-0008,封止H,2026-05-08,02,圧力,0128
WK-0008,封止H,2026-05-08,03,温度,0036
WK-0008,封止H,2026-05-08,04,判定,要確認
WK-0008,封止H,2026-05-08,05,処置,清掃
WK-0008,封止H,2026-05-08,06,備考,次回点検対象
WK-0009,駆動J,2026-05-09,01,点検区分,外観確認
WK-0009,駆動J,2026-05-09,02,圧力,0129
WK-0009,駆動J,2026-05-09,03,温度,0037
WK-0009,駆動J,2026-05-09,04,判定,保留
WK-0009,駆動J,2026-05-09,05,処置,調整
WK-0009,駆動J,2026-05-09,06,備考,表示ゆれあり
WK-0009,駆動J,2026-05-09,07,確認欄,L1
WK-0010,経路K,2026-05-10,01,点検区分,ベルト確認
WK-0010,経路K,2026-05-10,02,圧力,0130
WK-0010,経路K,2026-05-10,03,温度,0038
WK-0010,経路K,2026-05-10,04,判定,OK
WK-0010,経路K,2026-05-10,05,処置,部品交換
WK-0010,経路K,2026-05-10,06,備考,軽微な汚れ
WK-0010,経路K,2026-05-10,07,確認欄,L2
WK-0010,経路K,2026-05-10,08,終了,END
WK-0011,プレスA,2026-05-11,01,点検区分,センサー確認
WK-0011,プレスA,2026-05-11,02,圧力,0131
WK-0011,プレスA,2026-05-11,03,温度,0039
WK-0011,プレスA,2026-05-11,04,判定,要確認
WK-0012,搬送B,2026-05-12,01,点検区分,圧力確認
WK-0012,搬送B,2026-05-12,02,圧力,0132
WK-0012,搬送B,2026-05-12,03,温度,0040
WK-0012,搬送B,2026-05-12,04,判定,保留
WK-0012,搬送B,2026-05-12,05,処置,保留
WK-0013,仕分C,2026-05-13,01,点検区分,温度確認
WK-0013,仕分C,2026-05-13,02,圧力,0133
WK-0013,仕分C,2026-05-13,03,温度,0041
WK-0013,仕分C,2026-05-13,04,判定,OK
WK-0013,仕分C,2026-05-13,05,処置,なし
WK-0013,仕分C,2026-05-13,06,備考,予備確認済
WK-0014,包装D,2026-05-14,01,点検区分,ラベル確認
WK-0014,包装D,2026-05-14,02,圧力,0134
WK-0014,包装D,2026-05-14,03,温度,0042
WK-0014,包装D,2026-05-14,04,判定,要確認
WK-0014,包装D,2026-05-14,05,処置,清掃
WK-0014,包装D,2026-05-14,06,備考,次回点検対象
WK-0014,包装D,2026-05-14,07,確認欄,L3
WK-0015,検査E,2026-05-15,01,点検区分,安全確認
WK-0015,検査E,2026-05-15,02,圧力,0135
WK-0015,検査E,2026-05-15,03,温度,0043
WK-0015,検査E,2026-05-15,04,判定,保留
WK-0015,検査E,2026-05-15,05,処置,調整
WK-0015,検査E,2026-05-15,06,備考,表示ゆれあり
WK-0015,検査E,2026-05-15,07,確認欄,L1
WK-0015,検査E,2026-05-15,08,終了,END
WK-0016,昇降F,2026-05-16,01,点検区分,清掃確認
WK-0016,昇降F,2026-05-16,02,圧力,0136
WK-0016,昇降F,2026-05-16,03,温度,0044
WK-0016,昇降F,2026-05-16,04,判定,OK
WK-0017,混合G,2026-05-17,01,点検区分,外観確認
WK-0017,混合G,2026-05-17,02,圧力,0137
WK-0017,混合G,2026-05-17,03,温度,0045
WK-0017,混合G,2026-05-17,04,判定,要確認
WK-0017,混合G,2026-05-17,05,処置,再確認
WK-0018,封止H,2026-05-18,01,点検区分,ベルト確認
WK-0018,封止H,2026-05-18,02,圧力,0138
WK-0018,封止H,2026-05-18,03,温度,0028
WK-0018,封止H,2026-05-18,04,判定,保留
WK-0018,封止H,2026-05-18,05,処置,保留
WK-0018,封止H,2026-05-18,06,備考,異常なし
WK-0019,駆動J,2026-05-19,01,点検区分,センサー確認
WK-0019,駆動J,2026-05-19,02,圧力,0139
WK-0019,駆動J,2026-05-19,03,温度,0029
WK-0019,駆動J,2026-05-19,04,判定,OK
WK-0019,駆動J,2026-05-19,05,処置,なし
WK-0019,駆動J,2026-05-19,06,備考,予備確認済
WK-0019,駆動J,2026-05-19,07,確認欄,L2
WK-0020,経路K,2026-05-20,01,点検区分,圧力確認
WK-0020,経路K,2026-05-20,02,圧力,0140
WK-0020,経路K,2026-05-20,03,温度,0030
WK-0020,経路K,2026-05-20,04,判定,要確認
WK-0020,経路K,2026-05-20,05,処置,清掃
WK-0020,経路K,2026-05-20,06,備考,次回点検対象
WK-0020,経路K,2026-05-20,07,確認欄,L3
WK-0020,経路K,2026-05-20,08,終了,END
WK-0021,プレスA,2026-05-01,01,点検区分,温度確認
WK-0021,プレスA,2026-05-01,02,圧力,0141
WK-0021,プレスA,2026-05-01,03,温度,0031
WK-0021,プレスA,2026-05-01,04,判定,保留
WK-0022,搬送B,2026-05-02,01,点検区分,ラベル確認
WK-0022,搬送B,2026-05-02,02,圧力,0142
WK-0022,搬送B,2026-05-02,03,温度,0032
WK-0022,搬送B,2026-05-02,04,判定,OK
WK-0022,搬送B,2026-05-02,05,処置,部品交換
WK-0023,仕分C,2026-05-03,01,点検区分,安全確認
WK-0023,仕分C,2026-05-03,02,圧力,0143
WK-0023,仕分C,2026-05-03,03,温度,0033
WK-0023,仕分C,2026-05-03,04,判定,要確認
WK-0023,仕分C,2026-05-03,05,処置,再確認
WK-0023,仕分C,2026-05-03,06,備考,交換候補
WK-0024,包装D,2026-05-04,01,点検区分,清掃確認
WK-0024,包装D,2026-05-04,02,圧力,0144
WK-0024,包装D,2026-05-04,03,温度,0034
WK-0024,包装D,2026-05-04,04,判定,保留
WK-0024,包装D,2026-05-04,05,処置,保留
WK-0024,包装D,2026-05-04,06,備考,異常なし
WK-0024,包装D,2026-05-04,07,確認欄,L1
WK-0025,検査E,2026-05-05,01,点検区分,外観確認
WK-0025,検査E,2026-05-05,02,圧力,0145
WK-0025,検査E,2026-05-05,03,温度,0035
WK-0025,検査E,2026-05-05,04,判定,OK
WK-0025,検査E,2026-05-05,05,処置,なし
WK-0025,検査E,2026-05-05,06,備考,予備確認済
WK-0025,検査E,2026-05-05,07,確認欄,L2
WK-0025,検査E,2026-05-05,08,終了,END
WK-0026,昇降F,2026-05-06,01,点検区分,ベルト確認
WK-0026,昇降F,2026-05-06,02,圧力,0146
WK-0026,昇降F,2026-05-06,03,温度,0036
WK-0026,昇降F,2026-05-06,04,判定,要確認
WK-0027,混合G,2026-05-07,01,点検区分,センサー確認
WK-0027,混合G,2026-05-07,02,圧力,0147
WK-0027,混合G,2026-05-07,03,温度,0037
WK-0027,混合G,2026-05-07,04,判定,保留
WK-0027,混合G,2026-05-07,05,処置,調整
WK-0028,封止H,2026-05-08,01,点検区分,圧力確認
WK-0028,封止H,2026-05-08,02,圧力,0148
WK-0028,封止H,2026-05-08,03,温度,0038
WK-0028,封止H,2026-05-08,04,判定,OK
WK-0028,封止H,2026-05-08,05,処置,部品交換
WK-0028,封止H,2026-05-08,06,備考,軽微な汚れ
WK-0029,駆動J,2026-05-09,01,点検区分,温度確認
WK-0029,駆動J,2026-05-09,02,圧力,0149
WK-0029,駆動J,2026-05-09,03,温度,0039
WK-0029,駆動J,2026-05-09,04,判定,要確認
WK-0029,駆動J,2026-05-09,05,処置,再確認
WK-0029,駆動J,2026-05-09,06,備考,交換候補
WK-0029,駆動J,2026-05-09,07,確認欄,L3
WK-0030,経路K,2026-05-10,01,点検区分,ラベル確認
WK-0030,経路K,2026-05-10,02,圧力,0150
WK-0030,経路K,2026-05-10,03,温度,0040
WK-0030,経路K,2026-05-10,04,判定,保留
WK-0030,経路K,2026-05-10,05,処置,保留
WK-0030,経路K,2026-05-10,06,備考,異常なし
WK-0030,経路K,2026-05-10,07,確認欄,L1
WK-0030,経路K,2026-05-10,08,終了,END
